"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
3,592774600E-2;7,727146149E-2;-1,643443108E-1;2,068924904E-1;2,752897270E-1
3,829048700E-2;3,437161446E-2;-1,622443199E-1;1,609926224E-1;2,311347046E-1
4,065446900E-2;-2,235722542E-2;-1,003265381E-1;1,037106514E-1;1,460176667E-1
4,301834800E-2;-6,330728531E-2;-8,532619476E-2;6,771087646E-2;1,259886292E-1
4,538222700E-2;-1,494071484E-1;-6,642627716E-2;4,776096344E-2;1,703409989E-1
4,774594900E-2;-2,693462372E-1;-4,435539246E-2;7,721424103E-3;2,730831681E-1
5,011087000E-2;-2,861897945E-1;-6,428241730E-2;-7,115364075E-2;3,018272159E-1
5,247364000E-2;-3,186500072E-1;-2,100276947E-2;-1,312284470E-1;3,452533110E-1
5,483879200E-2;-3,585457802E-1;-2,100276947E-2;-1,772174835E-1;4,005024710E-1
5,720156300E-2;-4,085986614E-1;-2,345657349E-2;-2,705011368E-1;4,905853055E-1
5,956648400E-2;-4,585487843E-1;-2,555656433E-2;-3,146014214E-1;5,566813989E-1
6,192925600E-2;-4,636487961E-1;-3,050661087E-2;-3,815011978E-1;6,012021485E-1
6,429425400E-2;-5,203943253E-1;-1,566791534E-2;-4,398484230E-1;6,815587814E-1
6,665694700E-2;-5,710399151E-1;-3,629779816E-2;-4,932179451E-1;7,554257450E-1
6,902194500E-2;-5,776431561E-1;-6,738138199E-2;-5,020780563E-1;7,683060855E-1
7,138463900E-2;-6,022219658E-1;-6,331253052E-2;-5,445380211E-1;8,143718002E-1
7,374986800E-2;-6,328928471E-1;-7,729625702E-2;-5,154170990E-1;8,198675827E-1
7,611240900E-2;-6,276068687E-1;-7,729816437E-2;-5,543761253E-1;8,409508168E-1
7,847733300E-2;-6,502740383E-1;-5,415773392E-2;-5,543265343E-1;8,561934896E-1
8,084010400E-2;-6,347885132E-1;-3,023529053E-2;-5,510859489E-1;8,411696335E-1
8,320525600E-2;-6,272370815E-1;-9,322166443E-3;-5,319333076E-1;8,224757158E-1
8,556802700E-2;-6,258065701E-1;-1,398944855E-2;-5,766215324E-1;8,510710660E-1
8,793294800E-2;-6,283023357E-1;-2,103328705E-3;-6,123509407E-1;8,773493738E-1
9,029573300E-2;-6,744942665E-1;9,181976318E-3;-6,497483253E-1;9,365894034E-1
9,266073100E-2;-7,239415646E-1;2,808332443E-2;-6,513485909E-1;9,742356228E-1
9,502350300E-2;-8,161249161E-1;1,816272736E-2;-6,199293137E-1;1,025037617E0
9,738842400E-2;-8,680524826E-1;3,039360046E-3;-5,744638443E-1;1,040928940E0
9,975119500E-2;-9,811589718E-1;-2,994537354E-2;-5,013480186E-1;1,102233863E0
1,021163260E-1;-1,017491817E0;-1,591968536E-2;-4,985508919E-1;1,133179609E0
1,044788660E-1;-1,085239649E0;-2,109050751E-3;-5,056524277E-1;1,197261008E0
1,068440180E-1;-1,092722178E0;-1,002306938E-1;-5,931410789E-1;1,247358925E0
1,092067890E-1;-1,181144953E0;-1,659545898E-1;-6,814107895E-1;1,373668442E0
1,115717100E-1;-1,133816481E0;-1,779708862E-1;-7,268462181E-1;1,358498757E0
1,139344520E-1;-1,148132563E0;-2,265572548E-1;-7,859840393E-1;1,409718937E0
1,162993730E-1;-1,103879929E0;-2,145667076E-1;-7,516593933E-1;1,352620276E0
1,186622210E-1;-1,097880125E0;-2,577552795E-1;-7,217106819E-1;1,338896882E0
1,210271420E-1;-1,051624537E0;-2,716345787E-1;-6,473817825E-1;1,264437694E0
1,233899130E-1;-1,089601278E0;-2,811307907E-1;-6,074686050E-1;1,278782066E0
1,257548480E-1;-1,110261202E0;-3,108248711E-1;-5,237660408E-1;1,266342332E0
1,281176190E-1;-1,008691072E0;-3,196029663E-1;-4,803743362E-1;1,162051306E0
1,304827710E-1;-9,095759392E-1;-3,395528793E-1;-5,450501442E-1;1,113420050E0
1,328453120E-1;-8,586511612E-1;-3,540186882E-1;-7,103071213E-1;1,169250724E0
1,352104640E-1;-8,066778183E-1;-3,499145508E-1;-7,979187965E-1;1,187368393E0
1,375732290E-1;-6,740198135E-1;-3,398871422E-1;-8,238034248E-1;1,117353150E0
1,399382270E-1;-5,826923847E-1;-3,361110687E-1;-8,177213669E-1;1,058852822E0
1,423009210E-1;-4,031593800E-1;-3,481426239E-1;-7,785735130E-1;9,433543806E-1
1,446659190E-1;-1,939399242E-1;-3,871469498E-1;-6,994419098E-1;8,226265496E-1
1,470286900E-1;-7,587480545E-2;-3,886775970E-1;-6,220879555E-1;7,374419875E-1
1,493935980E-1;1,231977940E-1;-3,886489868E-1;-5,190505981E-1;6,600297378E-1
1,517563690E-1;2,068346739E-1;-3,148999214E-1;-4,111552238E-1;5,576658147E-1
1,541215210E-1;3,935128450E-1;-2,998113632E-1;-2,184138298E-1;5,407807446E-1
1,564840610E-1;4,692549706E-1;-2,322115898E-1;-4,256105423E-2;5,252941016E-1
1,588492130E-1;5,776036978E-1;-1,699090004E-1;1,526947021E-1;6,211366775E-1
1,612117670E-1;6,370532513E-1;-2,092218399E-2;3,337869644E-1;7,195056083E-1
1,635769190E-1;6,826492548E-1;2,096176147E-2;4,446182251E-1;8,149446402E-1
1,659396900E-1;7,391153574E-1;3,705787659E-2;4,852495193E-1;8,849473961E-1
1,683046880E-1;7,115763426E-1;9,503650665E-2;4,669609070E-1;8,564025441E-1
1,706673830E-1;7,381776571E-1;1,071782112E-1;5,475730896E-1;9,253268130E-1
1,730323610E-1;7,420612574E-1;1,432991028E-1;5,932674408E-1;9,608099702E-1
1,753951320E-1;6,780657768E-1;1,941485405E-1;6,385087967E-1;9,513991470E-1
1,777600530E-1;6,790044308E-1;2,113561630E-1;6,892175674E-1;9,903228261E-1
1,801228240E-1;5,876243114E-1;2,657546997E-1;6,923112869E-1;9,461621477E-1
1,824879760E-1;5,212063789E-1;2,612991333E-1;6,910905838E-1;9,041789212E-1
1,848507710E-1;5,153290033E-1;2,904725075E-1;7,249345779E-1;9,356646844E-1
1,872156930E-1;5,158936977E-1;2,906165123E-1;7,435808182E-1;9,505349535E-1
1,895784640E-1;5,137937069E-1;3,026165962E-1;7,264804840E-1;9,398588571E-1
1,919433850E-1;4,848527908E-1;2,719411850E-1;6,764469147E-1;8,755653404E-1
1,943061560E-1;4,802758694E-1;2,458543777E-1;6,166133881E-1;8,193420263E-1
1,966711300E-1;5,033179522E-1;2,189068794E-1;5,353965759E-1;7,667455095E-1
1,990338240E-1;4,755208492E-1;1,813154221E-1;3,925256729E-1;6,427065926E-1
2,013988220E-1;4,364347458E-1;1,812138557E-1;2,873725891E-1;5,530793377E-1
2,037615940E-1;3,846105337E-1;1,262016296E-1;1,573305130E-1;4,342867766E-1
2,061265150E-1;3,386338949E-1;8,474445343E-2;-3,654479980E-3;3,490958212E-1
2,084892910E-1;3,038464785E-1;3,980779648E-2;-1,410341263E-1;3,373395439E-1
2,108544430E-1;3,648993969E-1;3,536415100E-2;-2,080049515E-1;4,215071208E-1
2,132172140E-1;4,136499166E-1;-2,241182327E-2;-1,757869720E-1;4,500106698E-1
2,155821350E-1;4,344251156E-1;-3,950691223E-2;-9,387874603E-2;4,462053296E-1
2,179449060E-1;4,769535065E-1;-4,731941223E-2;5,797004700E-2;4,827880492E-1
2,203099090E-1;5,870826840E-1;-6,617832184E-2;8,434391022E-2;5,967910383E-1
